"country_region","continent","population","deaths","mortes_por_milhao"
"Angola","Africa","32956300","41","1.24"
"Jordan","Asia","10213138","11","1.08"
"Botswana","Africa","2356075","2","0.85"
"Thailand","Asia","69817894","58","0.83"
"Sri Lanka","Asia","21422362","11","0.51"
"Rwanda","Africa","12981546","5","0.39"
"Tanzania","Africa","59886383","21","0.35"
"Mozambique","Africa","31333962","11","0.35"
"Burundi","Africa","11922216","1","0.08"
"Uganda","Africa","45867852","2","0.04"
"Seychelles","Africa","98408","0","0.00"
"Eritrea","Africa","3551175","0","0.00"
"Bhutan","Asia","772443","0","0.00"
"Mongolia","Asia","3283344","0","0.00"
"Fiji","Australia/Oceania","897095","0","0.00"
"Saint Lucia","North America","183712","0","0.00"
"Timor-Leste","Asia","1320812","0","0.00"
"Grenada","North America","112576","0","0.00"
"Laos","Asia","7285750","0","0.00"
"Dominica","North America","72004","0","0.00"
"Saint Kitts and Nevis","North America","53237","0","0.00"
"Greenland","North America","56780","0","0.00"
"Papua New Guinea","Australia/Oceania","8963009","0","0.00"
"Cambodia","Asia","16741375","0","0.00"
"Vietnam","Asia","97425470","0","0.00"
