"date","pico_mm7_mortes"
"2020-07-25","1096.71"
"2020-07-26","1073.71"
"2020-07-16","1072.00"
"2020-07-27","1071.14"
"2020-07-17","1064.71"
"2020-07-22","1057.86"
"2020-06-23","1057.71"
"2020-07-15","1057.43"
"2020-07-23","1056.29"
"2020-07-14","1056.00"
