"country_region","confirmed","deaths","taxa_letalidade_pct"
"Yemen","1691","483","28.56"
"Belgium","66428","9822","14.79"
"Italy","246286","35112","14.26"
"France","220352","30212","13.71"
"Hungary","4448","596","13.40"
"Netherlands","53413","6160","11.53"
"Mexico","395489","44022","11.13"
"Spain","272421","28432","10.44"
"Canada","116458","8944","7.68"
"Sweden","79395","5700","7.18"
