"country_region","continent","population","confirmed","casos_por_milhao"
"Rwanda","Africa","12981546","1879","144.74"
"Gambia","Africa","2422754","326","134.56"
"Sri Lanka","Asia","21422362","2805","130.94"
"Saint Lucia","North America","183712","24","130.64"
"Bhutan","Asia","772443","99","128.16"
"Ethiopia","Africa","115223736","14547","126.25"
"Mali","Africa","20302901","2513","123.78"
"Tunisia","Africa","11830801","1455","122.98"
"Belize","North America","398312","48","120.51"
"Jordan","Asia","10213138","1176","115.15"
"Trinidad and Tobago","North America","1399950","148","105.72"
"Togo","Africa","8296582","874","105.34"
"Mongolia","Asia","3283344","289","88.02"
"Eritrea","Africa","3551175","265","74.62"
"Yemen","Asia","29886897","1691","56.58"
"Chad","Africa","16467965","922","55.99"
"Mozambique","Africa","31333962","1701","54.29"
"Burkina Faso","Africa","20954852","1100","52.49"
"Thailand","Asia","69817894","3297","47.22"
"Niger","Africa","24281433","1132","46.62"
"Syria","Asia","17539600","674","38.43"
"Burundi","Africa","11922216","378","31.71"
"Fiji","Australia/Oceania","897095","27","30.10"
"Angola","Africa","32956300","950","28.83"
"Uganda","Africa","45867852","1128","24.59"
"Timor-Leste","Asia","1320812","24","18.17"
"Western Sahara","Africa","598682","10","16.70"
"Cambodia","Asia","16741375","226","13.50"
"Tanzania","Africa","59886383","509","8.50"
"Papua New Guinea","Australia/Oceania","8963009","62","6.92"
"Vietnam","Asia","97425470","431","4.42"
"Laos","Asia","7285750","20","2.75"
