"mes","mm7_pico_mes","data_pico"
"2020-01-01","0.00","2020-01-22"
"2020-02-01","0.29","2020-02-29"
"2020-03-01","495.71","2020-03-31"
"2020-04-01","5307.29","2020-04-30"
"2020-05-01","21662.57","2020-05-31"
"2020-06-01","37389.29","2020-06-29"
"2020-07-01","46247.00","2020-07-27"
