"date","confirmed","deaths","taxa_mortalidade_pct"
"2020-06-02","555383","31199","5.62"
"2020-06-03","584016","32548","5.57"
"2020-06-04","614941","34021","5.53"
"2020-06-05","645771","35026","5.42"
"2020-06-06","672846","35930","5.34"
"2020-06-07","691758","36455","5.27"
"2020-06-08","707412","37134","5.25"
"2020-06-09","739503","38406","5.19"
"2020-06-10","772416","39680","5.14"
"2020-06-11","802828","40919","5.10"
"2020-06-12","828810","41828","5.05"
"2020-06-13","850514","42720","5.02"
"2020-06-14","867624","43332","4.99"
"2020-06-15","888271","43959","4.95"
"2020-06-16","923189","45241","4.90"
"2020-06-17","955377","46510","4.87"
"2020-06-18","978142","47748","4.88"
"2020-06-19","1032913","48954","4.74"
"2020-06-20","1067579","49976","4.68"
"2020-06-21","1083341","50591","4.67"
"2020-06-22","1106470","51271","4.63"
"2020-06-23","1145906","52645","4.59"
"2020-06-24","1188631","53830","4.53"
"2020-06-25","1228114","54971","4.48"
"2020-06-26","1274974","55961","4.39"
"2020-06-27","1313667","57070","4.34"
"2020-06-28","1344143","57622","4.29"
"2020-06-29","1368195","58314","4.26"
"2020-06-30","1402041","59594","4.25"
"2020-07-01","1448753","60632","4.19"
"2020-07-02","1496858","61884","4.13"
"2020-07-03","1539081","63174","4.10"
"2020-07-04","1577004","64265","4.08"
"2020-07-05","1603055","64867","4.05"
"2020-07-06","1623284","65487","4.03"
"2020-07-07","1668589","66741","4.00"
"2020-07-08","1713160","67964","3.97"
"2020-07-09","1755779","69184","3.94"
"2020-07-10","1800827","70398","3.91"
"2020-07-11","1839850","71469","3.88"
"2020-07-12","1864681","72100","3.87"
"2020-07-13","1884967","72833","3.86"
"2020-07-14","1926824","74133","3.85"
"2020-07-15","1966748","75366","3.83"
"2020-07-16","2012151","76688","3.81"
"2020-07-17","2046328","77851","3.80"
"2020-07-18","2074860","78772","3.80"
"2020-07-19","2098389","79488","3.79"
"2020-07-20","2118646","80120","3.78"
"2020-07-21","2159654","81487","3.77"
"2020-07-22","2227514","82771","3.72"
"2020-07-23","2287475","84082","3.68"
"2020-07-24","2343366","85238","3.64"
"2020-07-25","2394513","86449","3.61"
"2020-07-26","2419091","87004","3.60"
"2020-07-27","2442375","87618","3.59"
