"country_region","date","new_cases","new_deaths"
"Brazil","2020-07-22","67860","1284"
"Brazil","2020-07-23","59961","1311"
"Brazil","2020-07-24","55891","1156"
"Brazil","2020-06-19","54771","1206"
"Brazil","2020-07-25","51147","1211"
"Brazil","2020-07-02","48105","1252"
"Brazil","2020-06-26","46860","990"
"Brazil","2020-07-01","46712","1038"
"Brazil","2020-07-16","45403","1322"
"Brazil","2020-07-07","45305","1254"
